hotelName,hotelAddress,Street,City,hotelDescription,pricePerNight,scoreGeneral,scoreValueForMoney,scoreLocation,scoreClean,distanceTlv
Rahel’s Home,"ד""ר אברהם טיכו, Beer Sheva","ד""ר אברהם טיכו",Beer Sheva,"Rahel’s Home is located in Beer Sheva and offers a terrace. The air-conditioned accommodation is 6.1 km from Ben Gurion University, and guests benefit from complimentary WiFi and private parking available on site.The homestay is equipped with …Read more",243.0,8.0,9.2,8.2,8.2,
The pearl of shahamon,"5 סמטת נחל זרחן נחל זרחן 5 כניסה 1,קומה 1, דירה 9, Eilat",5 סמטת נחל זרחן נחל זרחן 5 כניסה 1,Eilat,"Boasting air-conditioned accommodation with a balcony, The pearl of shahamon is situated in Eilat. Private parking is available on site at this recently renovated property. The property is soundproof and is set 2.4 km from Papaya Beach.The spacious …Read more",1337.0,8.5,8.9,8.8,9.0,281.8
יחידת נופש עמית,"משעול תפוז, Eilat",משעול תפוז,Eilat,"A recently renovated apartment set in Eilat, יחידת נופש עמית features a garden. Featuring a 24-hour front desk, this property also provides guests with a sun terrace. The apartment also offers free WiFi, free private parking and facilities for …Read more",684.0,8.8,8.9,8.6,9.4,281.8
Rom HaTayelet,"Yaara 6, Arad",Yaara 6,Arad,"Situated 21 km from Massada, Rom HaTayelet offers a seasonal outdoor swimming pool, a garden and air-conditioned accommodation with a balcony and free WiFi. The accommodation has a spa bath.The lodge provides guests with a terrace, pool views, …Read more",850.0,8.5,8.2,8.5,8.6,100.0
צימר בוטיק אדלה Zimmer boutique adela,"יסעור 39/2, Arad",יסעור 39/2,Arad,"Set in Arad, צימר בוטיק אדלה Zimmer boutique adela features accommodation with a private pool, a terrace and mountain views. This lodge offers free private parking and room service.The air-conditioned lodge consists of 1 bedroom, a living room, …Read more",1300.0,9.4,9.4,9.2,10.0,100.0
חן מדבר מרחב עם,"מרחב עם, Merhav Am",מרחב עם,Merhav Am,"Set in Merhav Am, חן מדבר מרחב עם offers air-conditioned accommodation with a balcony and free WiFi. A hot tub is available for guests.This apartment has 1 bedroom, a kitchen with a microwave and a fridge, a flat-screen TV, a seating area and …Read more",689.0,9.1,8.6,8.9,9.6,
Tranquility in The Desert,"Nachal Avnun 14, Yeroẖam",Nachal Avnun 14,Yeroham,"Set in Yeroẖam, 38 km from Ben Gurion University, Tranquility in The Desert offers rooms with air conditioning. There is a private entrance at the guest house for the convenience of those who stay. The accommodation provides airport transfers, …Read more",900.0,8.9,9.1,9.3,9.4,
The desert Pearl,"328 Yeelim st. 8 Apt. First floor, Eilat",328 Yeelim st. 8 Apt. First floor,Eilat,"Located in Eilat, 2.2 km from Kisuski Beach and 2.2 km from The Pearl Beach, The desert Pearl offers free WiFi and air conditioning. The property is around 16 km from Royal Yacht Club, 23 km from Aqaba Port and 30 km from Tala Bay Aqaba. The property …Read more",468.0,9.1,9.3,8.0,9.4,281.8
Guava apartment,"Mishol Guyava 7, Eilat",Mishol Guyava 7,Eilat,"Located in Eilat, 1.6 km from Dekel Beach and 1.7 km from Moshs Beach, Guava apartment provides air-conditioned accommodation with a patio and free WiFi. This sustainable apartment is located 2 km from Papaya Beach and 18 km from Royal Yacht …Read more",800.0,9.0,8.5,7.5,8.5,281.8
סוויטת הגל האדום,"עין יהב, Eilat",עין יהב,Eilat,"Located in Eilat, 2.5 km from Dekel Beach and 2.7 km from Moshs Beach, סוויטת הגל האדום offers air conditioning. The property is set 19 km from Royal Yacht Club, 26 km from Aqaba Port and 34 km from Tala Bay Aqaba. Aqaba Fort is 20 km from the …Read more",648.0,8.7,8.8,9.3,9.2,281.8
מלוני דירות נופש אילת - Melony Apartments Eilat,"סמטת ים סוף 10א, Eilat",סמטת ים סוף 10א,Eilat,"Featuring a terrace and views of mountain, מלוני דירות נופש אילת - Melony Apartments Eilat is a sustainable apartment located in Eilat, 1.6 km from Kisuski Beach. There is a private entrance at the apartment for the convenience of those who stay. …Read more",383.0,9.3,9.5,8.2,9.8,281.8
דפני בית נופש,"נחל חימר, Eilat",נחל חימר,Eilat,"דפני בית נופש is located in Eilat, 2 km from Dekel Beach, 2.1 km from Moshs Beach, as well as 2.3 km from Papaya Beach. This property offers access to a balcony and free private parking.The air-conditioned apartment is composed of 3 separate …Read more",774.0,9.6,9.7,8.8,9.8,281.8
C Class Apartment,"Mishol Yarden 6, Eilat",Mishol Yarden 6,Eilat,"Boasting sea views, C Class Apartment offers accommodation with a terrace and a kettle, around 1.1 km from Dekel Beach. The air-conditioned accommodation is 800 m from Kisuski Beach, and guests benefit from private parking available on site and …Read more",9000.0,7.9,8.2,8.6,8.0,281.8
Olives,"68 Odem Street, Arad",68 Odem Street,Arad,"Boasting a garden, Olives is situated in Arad in the South District Israel region, 19 km from Massada and 47 km from Ben Gurion University. Some rooms at the property have a balcony with a mountain view.At the hotel, the rooms come with a wardrobe. …Read more",585.0,9.0,8.9,9.3,9.5,100.0
"Ofir, nice small unit, 123Eilat","23 Shkhoret Street, Eilat",23 Shkhoret Street,Eilat,"Located in Eilat, 1.7 km from Kisuski Beach and 1.8 km from The Pearl Beach, Ofir, nice small unit, 123Eilat offers a garden and air conditioning. Both free WiFi and parking on-site are available at the apartment free of charge. The property is …Read more",338.0,8.4,8.4,8.0,8.9,281.8
Marvin's Place,"53 Lot Trail, Arad",53 Lot Trail,Arad,"Located in Arad and within 21 km of Massada, Marvins Place features barbecue facilities, non-smoking rooms, and free WiFi throughout the property. All rooms include a balcony with views of the garden.At the guest house each room has air conditioning, …Read more",600.0,9.6,9.7,9.6,9.9,100.0
Eilat vacation studio סטודיו נופש באילת,"זוגן 7062/2, Eilat",זוגן 7062/2,Eilat,"Eilat vacation studio סטודיו נופש באילת is situated in Eilat, 2.6 km from Kisuski Beach and 2.6 km from The Pearl Beach, in an area where hiking can be enjoyed. It has city views and free WiFi throughout the property.The air-conditioned apartment …Read more",400.0,9.6,9.7,8.4,10.0,281.8
""" ARADA "" Luxury House","12 Barkan Street, Arad",12 Barkan Street,Arad,"Featuring air-conditioned accommodation with a balcony, "" ARADA "" Luxury House is set in Arad. This villa features a pool with a view, a garden, barbecue facilities, free WiFi and free private parking. Guests have access to a hot tub, spa facilities …Read more",1080.0,9.7,9.2,9.8,10.0,100.0
Zman Midbar Eco Spirit Lodge for Peace,"P.O.Box 5131, Arad",P.O.Box 5131,Arad,"Zman Midbar is located in the Judaean Desert, 5 km from the centre of Arad. Free WiFi access is available.The accommodation provides private and dormitory units. The house also comes with a kitchen. A breakfast of granola and yogurt is included …Read more",720.0,8.6,7.7,9.1,8.0,100.0
Pninat Hadrom,"70 אברהם אבינו, Beer Sheva",70 אברהם אבינו,Beer Sheva,"Featuring air-conditioned accommodation with a balcony, Pninat Hadrom is set in Beer Sheva. The property features garden views, and is 1.3 km from Ben Gurion University.With free WiFi, this 1-bedroom villa offers a flat-screen TV, a washing …Read more",402.0,5.0,8.8,9.3,9.2,
Tamar's House,"40 Tarshish Street 40, Arad",40 Tarshish Street 40,Arad,"Set in Arad, 20 km from Massada and 47 km from Ben Gurion University, Tamars House offers accommodation with free WiFi and a garden with an outdoor swimming pool and garden views.A balcony with mountain view, a satellite flat-screen TV with …Read more",600.0,8.8,8.4,8.9,9.1,100.0
Hapinukim Shel Rozi,"Ein Tamar, Ein Tamar ",Ein Tamar,Ein Tamar ,"Hapinukim Shel Rozi is situated in Ein Tamar and offers a tennis court and barbecue facilities. This property offers access to a balcony and free private parking.This air-conditioned lodge comes with a seating area, a kitchenette with a fridge, …Read more",600.0,8.4,7.8,7.8,8.4,138.4
Reef Place (Oren's),"ערוד 1146, Eilat",ערוד 1146,Eilat,"Located in Eilat, Reef Place (Orens) is a recently renovated accommodation, 2.3 km from Kisuski Beach and 2.3 km from The Pearl Beach. Featuring sea and mountain views, this apartment also offers free WiFi. The accommodation provides airport …Read more",838.0,8.9,9.2,8.3,9.4,281.8
Hemdat Nefesh Eitan,"Eitan, Eitan",Eitan,Eitan,"Set 38 km from Ben Gurion University, Hemdat Nefesh Eitan offers a garden, and air-conditioned accommodation with a terrace and free WiFi.All units include a fully equipped kitchen, allowing guests to prepare their own meals. A balcony with …Read more",1600.0,8.0,8.8,9.4,8.1,44.8
Sun Center Eilat,"Sderot HaTmarim 37, Eilat",Sderot HaTmarim 37,Eilat,"Set in Eilat, within 1.4 km of Kisuski Beach and 1.4 km of The Pearl Beach, Sun Center Eilat offers accommodation with a shared lounge and free WiFi as well as free private parking for guests who drive. The property is around 1.5 km from Miki …Read more",510.0,9.1,9.3,8.2,9.4,281.8
Tzimer Lana,"רחוב יסעור 42 ערד, Arad",רחוב יסעור 42 ערד,Arad,"Situated in Arad, Tzimer Lana features accommodation with free WiFi, mountain views, and access to a hot tub.The air-conditioned units have a fully equipped kitchen with dining area, a fridge, coffee machine, and an oven. A microwave and stovetop …Read more",540.0,8.9,9.3,9.4,9.4,100.0
Daniel's garden apartment,"28 שוהם, Eilat",28 שוהם,Eilat,"Featuring a hot tub, Daniels garden apartment is situated in Eilat. Boasting free private parking, the holiday home is in an area where guests can engage in activities such as hiking, skiing and fishing.This air-conditioned holiday home has …Read more",624.0,8.2,7.8,9.1,7.8,281.8
סוויטת אור אילת,"2 משעול עדעד, Eilat",2 משעול עדעד,Eilat,"סוויטת אור אילת is set in Eilat, 1.5 km from Papaya Beach, 1.7 km from Kisuski Beach, and 1.7 km from The Pearl Beach. This apartment has a private pool, a garden, barbecue facilities, free WiFi and free private parking.The air-conditioned apartment …Read more",531.0,10.0,10.0,10.0,10.0,281.8
Or Gani,"Duchifat 48/1 , Arad",Duchifat 48/1 ,Arad,"Or Gani features mountain views, free WiFi and free private parking, set in Arad, 23 km from Massada.Each unit is fitted with a terrace offering city views, a cable flat-screen TV, a seating area, a well-fitted kitchen and a private bathroom …Read more",450.0,8.9,8.8,8.9,8.8,100.0
By Eezy - אורה דירות אירוח," 27 שדרות חטיבת הנגב, Eilat", 27 שדרות חטיבת הנגב,Eilat,"Located in Eilat, 1.1 km from Papaya Beach and 1.1 km from The Pearl Beach, By Eezy - אורה דירות אירוח provides accommodation with free WiFi, air conditioning and access to a garden with a terrace.A fridge, a stovetop and toaster are also provided …Read more",419.0,9.1,9.2,8.8,9.2,281.8
"Club In Eilat Resort - Executive Deluxe Villa With Jacuzzi, Terrace & Parking","Izmargad Street P.O.B 1505, Eilat",Izmargad Street P.O.B 1505,Eilat,"With mountain views, Club In Eilat Resort - Executive Deluxe Villa With Jacuzzi, Terrace & Parking is situated in Eilat and has a restaurant, a kids club, bar, garden, terrace and childrens playground. The aparthotel features both WiFi and private …Read more",1530.0,9.4,8.8,9.0,9.0,281.8
комната на двоих,"Эйлат, Eilat",Эйлат,Eilat,"Located in Eilat, 700 m from Papaya Beach and 700 m from Kisuski Beach, комната на двоих provides accommodation with free WiFi, air conditioning, a garden and a terrace.A fridge and kettle are also featured.The Pearl Beach is 800 m from the …Read more",300.0,8.7,8.8,9.3,9.2,281.8
ELEGANT PIKOS,"משעול פיקוס, Eilat",משעול פיקוס,Eilat,"Featuring air-conditioned accommodation with a balcony, ELEGANT PIKOS is set in Eilat. Featuring sea and mountain views, this apartment also has free WiFi. The property is non-smoking and is situated 2.7 km from Kisuski Beach.The spacious apartment …Read more",497.0,7.2,8.8,9.3,9.2,281.8
Desert Breeze,"17 נחל מישר, Mitzpe Ramon",17 נחל מישר,Mitzpe Ramon,"Desert Breeze is situated in Mitzpe Ramon. Both free WiFi and parking on-site are accessible at the apartment free of charge.The spacious apartment has 3 bedrooms, a flat-screen TV with cable channels, a fully equipped kitchen with an oven and …Read more",767.0,10.0,10.0,10.0,10.0,163.2
Casa Rosa,"Derech Harim,Sderot Argaman Corner, Eilat",Derech Harim,Eilat,"Boasting air-conditioned accommodation with a patio, Casa Rosa is set in Eilat. Among the facilities at this property are free shuttle service and a 24-hour front desk, along with free WiFi throughout the property. Parking on-site is available …Read more",540.0,9.6,9.7,8.9,9.9,281.8
דירה מרהיבה עם ג׳קוזי,"12 Avnei Khoshen Street, Eilat",12 Avnei Khoshen Street,Eilat,"Featuring a hot tub, דירה מרהיבה עם ג׳קוזי is situated in Eilat. This property offers access to a balcony, free private parking and free WiFi. The property is non-smoking and is located 700 m from Papaya Beach.Opening onto a terrace with garden …Read more",780.0,9.0,7.5,10.0,8.8,281.8
סטודיו 10 studio,"יעקב אבינו 10 אילת יעקב אבינו 10 קומת קרקע אילת, Eilat",יעקב אבינו 10 אילת יעקב אבינו 10 קומת קרקע אילת,Eilat,"סטודיו 10 studio, a property with a garden, is located in Eilat, 27 km from Aqaba Port, 35 km from Tala Bay Aqaba, as well as 6.4 km from Eilat Botanical Garden. The air-conditioned accommodation is 20 km from Royal Yacht Club, and guests can …Read more",450.0,9.5,9.4,8.1,9.5,281.8
Vacation Apartment,"8 סרפד 5, Eilat",8 סרפד 5,Eilat,"Set in Eilat, 3 km from Dekel Beach and 20 km from Royal Yacht Club, Vacation Apartment offers accommodation with free WiFi, air conditioning, an outdoor swimming pool and a shared lounge. This holiday home features a private pool, a garden and …Read more",1980.0,10.0,10.0,7.5,10.0,281.8
viktoryadream,"נווה מדבר 59 קרקע, Eilat",נווה מדבר 59 קרקע,Eilat,"Set 2.6 km from Kisuski Beach, viktoryadream offers accommodation with an outdoor swimming pool, a bar and a shared kitchen for your convenience. Free WiFi is available.Fitted with a terrace, the units offer air conditioning and feature a flat-screen …Read more",919.0,9.7,9.4,9.4,9.7,281.8
Sea suites king,"יפה נוף, Ashkelon",יפה נוף,Ashkelon,"Boasting a hot tub, Sea suites king is set in Ashkelon. This apartment offers accommodation with a balcony.With direct access to a terrace with garden views, the air-conditioned apartment consists of 1 bedroom and a fully equipped kitchen. A …Read more",1140.0,8.7,8.8,9.3,9.2,50.3
Next to the marina,"29 יפה נוף, Ashkelon",29 יפה נוף,Ashkelon,"Situated in Ashkelon, just 300 m from Bar Kochba Beach, Next to the marina features beachfront accommodation with a private beach area, an indoor pool and free WiFi. This apartment also has a private pool. The property is non-smoking and is located …Read more",351.0,9.3,9.2,9.2,10.0,50.3
Las Palmas,"Mishol Yulit Yam Suf 14, Eilat",Mishol Yulit Yam Suf 14,Eilat,"Las Palmas offers air-conditioned accommodation with free Wi-Fi access in Eilat. A variety of restaurants, bars and night clubs can be found at within 3 km.Every unit provides a kitchen or kitchenette with a dining area. A microwave and a fridge …Read more",800.0,9.3,8.8,9.0,9.2,281.8
Next to the marina,"29 יפה נוף, Ashkelon",29 יפה נוף,Ashkelon,"Situated 300 m from Bar Kochba Beach, Next to the marina features accommodation in Ashkelon with access to an indoor pool. This apartment also has a private pool and free WiFi.This air-conditioned apartment features 1 bedroom, a flat-screen …Read more",411.0,9.3,9.2,9.2,10.0,50.3
The Flying Carpet - Crater Camel Mount View,"14 נחל ערוד, Mitzpe Ramon",14 נחל ערוד,Mitzpe Ramon,"Located in Mitzpe Ramon in the South District Israel region, The Flying Carpet - Crater Camel Mount View features a balcony and quiet street views. Featuring mountain and city views, this apartment also offers free WiFi. Guests can make use of …Read more",575.0,7.1,8.8,9.3,9.2,163.2
two bed room apartment 5 min walk to the beach,"28 שוהם 4, Eilat",28 שוהם 4,Eilat,"Boasting a balcony with city views, a terrace and a tennis court, two bed room apartment 5 min walk to the beach can be found in Eilat, close to Papaya Beach and 600 m from Kisuski Beach. Featuring free private parking, the apartment is in an …Read more",562.0,8.9,8.9,9.2,8.9,281.8
By Eezy - צופית דירות אירוח,"6011 שדרות חטיבת הנגב קומה 1 דירה 3, Eilat",6011 שדרות חטיבת הנגב קומה 1 דירה 3,Eilat,"Set in Eilat in the South District Israel region, with Kisuski Beach and The Pearl Beach nearby, By Eezy - צופית דירות אירוח offers accommodation with free WiFi and free private parking.Each unit comes with a fully equipped kitchen with a dining …Read more",459.0,8.9,9.2,8.6,9.2,281.8
נווה מדבר,"דישונים, Eilat",דישונים,Eilat,"Located in Eilat, 2.5 km from The Pearl Beach and 2.6 km from Miki Beach, נווה מדבר offers air conditioning. The property is around 16 km from Royal Yacht Club, 23 km from Aqaba Port and 30 km from Tala Bay Aqaba. Free WiFi is available throughout …Read more",400.0,9.6,9.5,9.0,10.0,281.8
Moab Palaces,"Hagilad 31, Arad",Hagilad 31,Arad,"Boasting an outdoor swimming pool, a garden, and a terrace, Moab Palaces features accommodation in Arad with free WiFi and sea views. This property offers access to a pool table.The air-conditioned holiday home consists of 7 bedrooms, a living …Read more",1200.0,6.6,8.8,9.3,9.2,100.0
Eilot Street City Center Apartments by Stay Eilat,"Eilot Street 605, Eilat",Eilot Street 605,Eilat,"Set within 1.2 km of Kisuski Beach and 1.2 km of The Pearl Beach in Eilat, Eilot Street City Center Apartments by Stay Eilat offers accommodation with free WiFi and seating area.Every unit has a private bathroom and shower, air conditioning, …Read more",593.0,6.9,8.8,9.3,9.2,281.8
Villa Balfour,"10 משעול אזוב, Eilat",10 משעול אזוב,Eilat,"Featuring air-conditioned accommodation with a private pool, sea view and a balcony, Villa Balfour is set in Eilat. This beachfront property offers access to a terrace, free private parking and free WiFi. The property is non-smoking and is situated …Read more",4399.0,10.0,10.0,10.0,10.0,281.8
Presidential Penthouse,"Har Saad Street 1/8, Eilat",Har Saad Street 1/8,Eilat,"Featuring sea views, Presidential Penthouse provides accommodation with a balcony and a kettle, around 19 km from Royal Yacht Club. The air-conditioned accommodation is 2.4 km from Papaya Beach, and guests benefit from private parking available …Read more",900.0,9.8,9.6,9.0,10.0,281.8
Studio Vacation House by Stay Eilat - Shaldag Street,"Shaldag Street 4023, Eilat",Shaldag Street 4023,Eilat,"Studio Vacation House by Stay Eilat - Shaldag Street has air-conditioned guest accommodation in Eilat, 1.1 km from Kisuski Beach, 1.2 km from The Pearl Beach and 1.3 km from Papaya Beach. Both free WiFi and parking on-site are accessible at the …Read more",593.0,8.3,8.5,8.6,8.9,281.8
חאן בכפר במשק בלה מאיה - הצימר,"משק נבטים 21, Nevatim",משק נבטים 21,Nevatim,"Boasting air-conditioned accommodation with a patio, חאן בכפר במשק בלה מאיה - הצימר is set in Nevatim. Featuring room service, this property also provides guests with a picnic area. There is a sun terrace and guests can make use of free WiFi and …Read more",614.0,8.4,8.2,8.9,9.6,95.7
נופש באילת,"התנאים, Eilat",התנאים,Eilat,"Boasting an outdoor swimming pool, a restaurant as well as a bar, נופש באילת is situated in Eilat, within 2.6 km of Kisuski Beach and 2.6 km of The Pearl Beach.Miki Beach is 2.7 km from the apartment, while Royal Yacht Club is 16 km from the …Read more",720.0,7.7,9.2,6.7,9.2,281.8
Olives sweets,"21 אגמית, Arad",21 אגמית,Arad,"Set in Arad and within 22 km of Massada, Olives sweets has a garden, soundproof rooms, and free WiFi. There is a private entrance at the apartment for the convenience of those who stay. Outdoor furniture is available for guests to relax or dine …Read more",590.0,7.7,7.5,7.5,10.0,100.0
צימר במרינה אשקלון,"23 יפה נוף, Ashkelon",23 יפה נוף,Ashkelon,"Situated in Ashkelon, 400 m from Delilah Beach and 700 m from Ashkelon National Park Beach, צימר במרינה אשקלון features air-conditioned accommodation with a balcony and free WiFi.The apartment is composed of 1 bedroom, a fully equipped kitchenette, …Read more",650.0,8.7,8.8,9.3,9.2,50.3
רגע של חסד,"17 יסעור, Arad",17 יסעור,Arad,"Situated in Arad, רגע של חסד provides accommodation 46 km from Ben Gurion University and 49 km from Masada. Featuring mountain views, a garden and a private pool, this homestay also offers free WiFi. The property is non-smoking and is located …Read more",486.0,8.3,8.3,8.5,8.5,100.0
בריכה פרטית מחוממת ונוף לים,"5 מור, Eilat",5 מור,Eilat,"Set in Eilat, בריכה פרטית מחוממת ונוף לים offers accommodation with private pool, free WiFi and free private parking for guests who drive. The air-conditioned accommodation is 1.9 km from Dekel Beach. The property is non-smoking and is situated …Read more",3024.0,9.5,10.0,8.8,10.0,281.8
Unique Central Old Town Studio Apartment,"46 Rambam Street, Beer Sheva",46 Rambam Street,Beer Sheva,"Featuring air-conditioned accommodation with a balcony, Unique Central Old Town Studio Apartment is set in Beer Sheva. The property features garden views and is 3.6 km from Ben Gurion University.With free WiFi, this 1-bedroom apartment offers …Read more",299.0,10.0,6.3,6.3,6.3,
By Eezy - דירת סטודיו בעיצוב אדרכילי - H Studio,"הנחושת, Eilat",הנחושת,Eilat,"Set in Eilat, 2.3 km from Kisuski Beach and 2.3 km from The Pearl Beach, By Eezy - דירת סטודיו בעיצוב אדרכילי - H Studio offers air conditioning. The property is located 16 km from Royal Yacht Club, 23 km from Aqaba Port and 30 km from Tala Bay …Read more",501.0,9.5,10.0,8.8,10.0,281.8
The Six Days Stylish One Bedroom Apartments,"7014 Sderot Sheshet HaYamim, Eilat",7014 Sderot Sheshet HaYamim,Eilat,"Offering inner courtyard views, The Six Days Stylish One Bedroom Apartments is an accommodation set in Eilat, 2.5 km from Papaya Beach and 17 km from Royal Yacht Club. The property features sea and city views, and is 2.3 km from The Pearl Beach. …Read more",593.0,8.0,7.9,8.0,8.3,281.8
"יחידת דיור,5 דק הליכה מבן גוריון וסורוקה","18 יוסף בן מתתיהו, Beer Sheva",18 יוסף בן מתתיהו,Beer Sheva,"Set in Beer Sheva, 600 m from Ben Gurion University, יחידת דיור,5 דק הליכה מבן גוריון וסורוקה offers air-conditioned accommodation with a balcony and free WiFi.The apartment is composed of 1 bedroom, a fully equipped kitchen, and 1 bathroom. …Read more",266.0,1.0,8.8,9.3,9.2,
בוילה היפה של יהודית,"Neve Midbar Street, Eilat",Neve Midbar Street,Eilat,"Located in Eilat, within 2.8 km of Kisuski Beach and 2.8 km of The Pearl Beach, בוילה היפה של יהודית provides accommodation with an outdoor swimming pool and free WiFi throughout the property as well as free private parking for guests who drive. …Read more",800.0,7.2,8.8,9.3,9.2,281.8
Beatrice Hospitality,"Neve Zohar 104/5, Neve Zohar",Neve Zohar 104/5,Neve Zohar,"Set in Ein Bokek, Beatrice Hospitality features a terrace with sea views. The property is 18 km from Masada and features views of the mountain. Free WiFi is available throughout the property.The unit is equipped with a kitchenette. Towels and …Read more",500.0,8.1,8.0,8.4,8.6,117.1
סטודיו מושלמת מרווחת ג׳קוזי ומרפסת שמש מרחק הליכה מהים,"שדרות חטיבת הנגב, Eilat",שדרות חטיבת הנגב,Eilat,"Situated in Eilat, 1.2 km from The Pearl Beach and 1.2 km from Kisuski Beach, סטודיו מושלמת מרווחת ג׳קוזי ומרפסת שמש מרחק הליכה מהים offers free WiFi and air conditioning. This apartment is 24 km from Aqaba Port and 32 km from Tala Bay Aqaba.The …Read more",1080.0,10.0,10.0,10.0,9.4,281.8
Day and night -יום ולילה,"משעול קוצן זהוב, Eilat",משעול קוצן זהוב,Eilat,"Featuring a garden and views of inner courtyard, Day and night -יום ולילה is a recently renovated apartment set in Eilat, 2.6 km from The Pearl Beach. This sustainable apartment is located 2.7 km from Miki Beach and 2.9 km from Moriah Beach. Boasting …Read more",650.0,9.3,9.5,8.4,9.3,281.8
צדפת המדבר,"8533700, Givot Bar",8533700,Givot Bar,"Boasting air-conditioned accommodation with a private pool, pool view and a balcony, צדפת המדבר is set in Givot Bar. This property offers access to a terrace, ping-pong, free private parking and free WiFi. The accommodation offers a 24-hour front …Read more",990.0,9.6,9.5,9.5,9.5,
Sea View Boutique Apartment,"311 שדרות ששת הימים, Eilat",311 שדרות ששת הימים,Eilat,"Sea View Boutique Apartment, a property with a terrace, is set in Eilat, 2.7 km from Dekel Beach, 2.9 km from Moshs Beach, as well as 19 km from Royal Yacht Club. This beachfront property offers access to a balcony, free private parking and free …Read more",800.0,8.7,8.8,9.3,9.2,281.8
O.r sweet's,"26 אבני חושן, Eilat",26 אבני חושן,Eilat,"Featuring air-conditioned accommodation with a private pool, O.r sweets is set in Eilat. This property offers access to a balcony and free private parking. The property is non-smoking and is located less than 1 km from Papaya Beach.With free …Read more",1216.0,8.7,8.8,9.3,9.2,281.8
T3 a 2 pas de la mer reservation minimum 10 jours,"kdoche belzen 1, Ashdod",kdoche belzen 1,Ashdod,"Situated in Ashdod, 300 m from Ashdod Beach and 36 km from Independence Hall Museum, T3 a 2 pas de la mer reservation minimum 10 jours features air-conditioned accommodation with a balcony and free WiFi. The property is around 37 km from Nachalat …Read more",357.0,10.0,10.0,10.0,10.0,33.7
RAKEFET - Traveler's House - EILAT,"3 משעול רקפת, Eilat",3 משעול רקפת,Eilat,"Situated in Eilat and with Papaya Beach reachable within 800 metres, RAKEFET - Travelers House - EILAT features express check-in and check-out, non-smoking rooms, a garden, free WiFi and barbecue facilities. The property is around 17 km from …Read more",500.0,9.1,8.8,9.5,9.7,281.8
Sweet home,"Sderot Sheshet HaYamim 160/27, Eilat",Sderot Sheshet HaYamim 160/27,Eilat,"Situated in Eilat, 2.6 km from Kisuski Beach and 2.6 km from The Pearl Beach, Sweet home offers air conditioning. Both free WiFi and parking on-site are accessible at the apartment free of charge. The property is soundproof and is set 2.6 km from …Read more",360.0,9.3,9.2,8.1,9.4,281.8
WBS ON MARINA ASHKELON,"יפה נוף 37 ,  קומה 5, Ashkelon",יפה נוף 37 ,Ashkelon,"WBS ON MARINA ASHKELON is a property with a private pool, set in Ashkelon, within just 800 m of Delilah Beach and 1.3 km of Ashkelon National Park Beach. This apartment offers a terrace. Free WiFi is available throughout the property and Bar Kochba …Read more",594.0,5.3,8.8,9.3,9.2,50.3
Villa Vered,"24 האלה, Eilat",24 האלה,Eilat,"Situated in Eilat, within 1.3 km of Papaya Beach and 1.4 km of Kisuski Beach, Villa Vered features accommodation with a terrace and free WiFi throughout the property as well as free private parking for guests who drive. The property is set 1.7 …Read more",436.0,8.5,8.8,8.1,8.8,281.8
Nahal Beer sheva נחל באר שבע,"35 Nahal Kidron, Apartment 37, Beer Sheva",35 Nahal Kidron,Beer Sheva,"Located in Beer Sheva in the South District Israel region, Nahal Beer sheva נחל באר שבע features a balcony and city views. Set 2.7 km from Ben Gurion University, the property offers a terrace and free private parking.The air-conditioned apartment …Read more",600.0,6.6,8.8,9.3,9.2,
Luxury Central Old Town Apartment,"46 Rambam Street, Beer Sheva",46 Rambam Street,Beer Sheva,"Set in Beer Sheva, Luxury Central Old Town Apartment offers accommodation with a balcony and free WiFi. This apartment is 3.6 km from Ben Gurion University.This air-conditioned apartment is fitted with 1 bedroom, a flat-screen TV, and a kitchen …Read more",410.0,10.0,10.0,10.0,10.0,
AKOYA HOTEL,"6 חיל ההנדסה, Eilat",6 חיל ההנדסה,Eilat,"Situated in Eilat in the South District Israel region, with Papaya Beach and Kisuski Beach nearby, AKOYA HOTEL features accommodation with free private parking. The air-conditioned accommodation is 500 m from The Pearl Beach. Tala Bay Aqaba is …Read more",552.0,8.7,8.8,9.3,9.2,281.8
Shanshan luxury suite Eilat,"4 Mishol Yarden, Eilat",4 Mishol Yarden,Eilat,"Located in Eilat in the South District Israel region, with Papaya Beach and Kisuski Beach nearby, Shanshan luxury suite Eilat provides accommodation with free private parking. The air-conditioned accommodation is 1.1 km from The Pearl Beach. The …Read more",490.0,9.7,9.4,9.4,9.8,281.8
Apartment Amdar Village,"7 Shoham Street 6, Eilat",7 Shoham Street 6,Eilat,"Boasting a spa bath, Apartment Amdar Village is set in Eilat. The air-conditioned accommodation is 700 m from Papaya Beach, and guests can benefit from complimentary WiFi and private parking available on site. Royal Yacht Club is 17 km away and …Read more",940.0,3.5,8.8,9.3,9.2,281.8
קלאסיקה,"אשליל, Eilat",אשליל,Eilat,"Situated in Eilat in the South District Israel region, with Kisuski Beach and The Pearl Beach nearby, קלאסיקה features accommodation with free private parking. The air-conditioned accommodation is 1.8 km from Miki Beach. Tala Bay Aqaba is 32 km …Read more",560.0,7.0,8.8,9.3,9.2,281.8
